18:37:08 10.09.2025 - M-Server Status: exited
18:37:15 10.09.2025 - M-Server Status: exited
18:37:23 10.09.2025 - M-Server Status: exited
18:37:24 10.09.2025 - M-Server Status: exited
18:37:34 10.09.2025 - M-Server Status: exited
18:37:45 10.09.2025 - M-Server Status: exited
18:37:49 10.09.2025 - M-Server starten gedrückt
18:37:49 10.09.2025 - M-Server starten ausgeführt
18:37:49 10.09.2025 - M-Server Status: exited
18:37:49 10.09.2025 - M-Server Status: exited
18:37:55 10.09.2025 - M-Server Status: exited
18:37:59 10.09.2025 - M-Server stoppen gedrückt
18:38:00 10.09.2025 - M-Server stoppen ausgeführt
18:38:00 10.09.2025 - M-Server Status: exited
18:38:00 10.09.2025 - M-Server Status: exited
18:38:05 10.09.2025 - M-Server Status: exited
18:38:15 10.09.2025 - M-Server Status: exited
18:38:23 10.09.2025 - M-Server Status: exited
18:38:25 10.09.2025 - M-Server Status: exited
18:38:35 10.09.2025 - M-Server Status: exited
18:38:45 10.09.2025 - M-Server Status: exited
18:38:55 10.09.2025 - M-Server Status: exited
18:39:23 10.09.2025 - M-Server Status: exited
18:39:23 10.09.2025 - M-Server Status: exited
18:40:23 10.09.2025 - M-Server Status: exited
18:40:23 10.09.2025 - M-Server Status: exited
18:42:43 10.09.2025 - Flask-App gestartet
18:42:45 10.09.2025 - M-Server Status: exited
18:42:53 10.09.2025 - M-Server starten gedrückt
18:42:53 10.09.2025 - M-Server starten ausgeführt
18:42:53 10.09.2025 - M-Server Status: running
18:42:53 10.09.2025 - M-Server Status: running
18:42:55 10.09.2025 - M-Server Status: running
18:43:04 10.09.2025 - M-Server stoppen gedrückt
18:43:05 10.09.2025 - M-Server stoppen ausgeführt
18:43:05 10.09.2025 - M-Server Status: exited
18:43:05 10.09.2025 - M-Server Status: exited
18:43:05 10.09.2025 - M-Server Status: exited
18:43:15 10.09.2025 - M-Server Status: exited
18:43:23 10.09.2025 - M-Server Status: running
18:43:23 10.09.2025 - M-Server Status: running
18:43:25 10.09.2025 - M-Server Status: running
18:43:35 10.09.2025 - M-Server Status: exited
18:43:45 10.09.2025 - M-Server Status: exited
18:43:48 10.09.2025 - M-Server Status: exited
18:43:49 10.09.2025 - M-Server Status: exited
18:53:05 10.09.2025 - Flask-App gestartet
18:53:08 10.09.2025 - M-Server Status: exited
18:53:17 10.09.2025 - M-Server starten gedrückt
18:53:17 10.09.2025 - M-Server starten ausgeführt
18:53:17 10.09.2025 - M-Server Status: running
18:53:17 10.09.2025 - M-Server Status: running
18:53:18 10.09.2025 - M-Server Status: running
18:53:22 10.09.2025 - M-Server stoppen gedrückt
18:53:23 10.09.2025 - M-Server stoppen ausgeführt
18:53:23 10.09.2025 - M-Server Status: exited
18:53:23 10.09.2025 - M-Server Status: exited
18:53:28 10.09.2025 - M-Server Status: exited
19:55:48 10.09.2025 - Flask-App gestartet
19:55:59 10.09.2025 - M-Server starten gedrückt
19:55:59 10.09.2025 - M-Server starten ausgeführt
19:56:04 10.09.2025 - M-Server stoppen gedrückt
19:56:05 10.09.2025 - M-Server stoppen ausgeführt
19:56:53 10.09.2025 - Flask-App gestartet
19:59:26 10.09.2025 - Flask-App gestartet
19:59:37 10.09.2025 - M-Server starten gedrückt
19:59:37 10.09.2025 - M-Server starten ausgeführt
19:59:44 10.09.2025 - M-Server stoppen gedrückt
19:59:44 10.09.2025 - M-Server stoppen ausgeführt
19:59:49 10.09.2025 - M-Server starten gedrückt
19:59:49 10.09.2025 - M-Server starten ausgeführt
20:01:11 10.09.2025 - Flask-App gestartet
20:01:32 10.09.2025 - M-Server stoppen gedrückt
20:01:32 10.09.2025 - M-Server stoppen ausgeführt
20:02:09 10.09.2025 - M-Server starten gedrückt
20:02:09 10.09.2025 - M-Server starten ausgeführt
20:23:50 10.09.2025 - Flask-App gestartet
21:23:47 10.09.2025 - Flask-App gestartet
21:25:28 10.09.2025 - M-Server stoppen ausgeführt
21:25:28 10.09.2025 - Automatischer Stopp des Containers um 21:25
21:28:36 10.09.2025 - Flask-App gestartet
21:28:59 10.09.2025 - Flask-App gestartet
21:29:03 10.09.2025 - M-Server starten gedrückt
21:29:03 10.09.2025 - M-Server starten ausgeführt
12:39:20 11.09.2025 - Flask-App gestartet
12:39:28 11.09.2025 - M-Server starten gedrückt
12:39:28 11.09.2025 - M-Server starten ausgeführt
12:40:00 11.09.2025 - Flask-App gestartet
12:41:41 11.09.2025 - M-Server stoppen ausgeführt
12:41:41 11.09.2025 - Automatischer Stopp des Containers um 12:41
13:22:15 11.09.2025 - Web-Server gestartet
13:24:38 11.09.2025 - Web-Server gestartet
14:38:18 11.09.2025 - Web-Server gestartet
14:39:08 11.09.2025 - FEHLER beim Status abfragen: name 'container' is not defined
14:39:58 11.09.2025 - FEHLER beim Status abfragen: name 'container' is not defined
14:41:14 11.09.2025 - Web-Server gestartet
14:45:41 11.09.2025 - Web-Server gestartet
14:46:31 11.09.2025 - FEHLER beim Status abfragen: name 'container' is not defined
14:46:53 11.09.2025 - Web-Server gestartet
14:48:49 11.09.2025 - Web-Server gestartet
14:48:54 11.09.2025 - FEHLER beim Status abfragen: name 'container' is not defined
14:48:58 11.09.2025 - FEHLER beim Status abfragen: name 'container' is not defined
